prep_1,case_1,prep_2,case_2,label
а-ля,им,в отличие от,род,квалификатив
а-ля,им,отлично,род,квалификатив
а-ля,им,различно с,твор,квалификатив
а-ля,им,непохоже на,вин,квалификатив
антагонистично,дат,подобно,дат,квалификатив
без,род,в сопровождении,род,квалификатив
без,род,в сочетании с,твор,квалификатив
без,род,в супряге с,твор,квалификатив
без,род,не без,род,квалификатив
без ведома,род,с участием,род,ситуатив
без ведома,род,с ведома,род,ситуатив
без ведома,род,с согласия,род,ситуатив
без данных,твор,по сравнению с,твор,квалификатив
без соотнесения с,твор,по сравнению с,твор,квалификатив
без сопоставления с,твор,по сравнению с,твор,квалификатив
без сравнения с,твор,по сравнению с,твор,квалификатив
безотносительно к,дат,в сравнении с,твор,квалификатив
беря в расчет,вин,за исключением,род,квалификатив
благодаря,дат,напротив,дат,каузатив
благодаря,дат,вопреки,дат,каузатив
благодаря,дат,несмотря на,вин,каузатив
благодаря,дат,наперекор,дат,каузатив
благодаря,дат,против,род,каузатив
благодаря,дат,противно,дат,каузатив
благодаря,дат,противу,род,каузатив
благодаря,дат,сверх,род,каузатив
близ,род,одаль,род,локатив
близ,род,вдалеке от,род,локатив
близ,род,поодаль от,род,локатив
близко от,род,вдали от,род,локатив
в виде,род,в отличие от,род,квалификатив
в виде,род,отлично от,род,квалификатив
в зависимости от,род,вне зависимости от,род,каузатив
в зависимости от,род,невзирая на,вин,каузатив
в зависимости от,род,независимо от,род,каузатив
в заключение,род,в начале,род,темпоратив
в интересах,род,против интересов,род,дестинатив
в итоге,род,в процессе,род,темпоратив
в направлении,род,наперекор,дат,директив
в направлении к,дат,наперекор,дат,директив
в начале,род,в заключение,род,темпоратив
в нескольких шагах от,род,вдали от,род,локатив
в нескольких шагах от,род,вдалеке от,род,локатив
в отдалении от,род,вблизи,род,локатив
в отдалении от,род,возле,род,локатив
в отдалении от,род,подле,род,локатив
в отличие от,род,подобно,дат,квалификатив
в отличие от,род,а-ля,им,квалификатив
в отличие от,род,в виде,род,квалификатив
в отличие от,род,на манер,род,квалификатив
в отрыве от,род,совместно с,твор,комитатив
в отрыве от,род,вместе с,твор,комитатив
в пользу,род,в ущерб,дат,дестинатив
в преддверии,род,после,род,темпоратив
в преддверии,род,за,твор,темпоратив
в продолжение,род,до,род,каузатив
в противоречии с,твор,подобно,дат,квалификатив
в процессе,род,в итоге,род,темпоратив
в рамках,род,вне рамок,род,тематив
в рамках,род,вне сферы,род,тематив
в рамках,род,за рамками,род,тематив
в согласии,род,вопреки,дат,директив
в содружестве с,твор,независимо от,род,квалификатив
в сообществе с,твор,независимо от,род,квалификатив
в соответствии с,твор,против,род,квалификатив
в соответствии с,твор,вопреки,род,квалификатив
в соответствии с,твор,вразрез,дат,квалификатив
в соответствии с,твор,вразрез с,твор,квалификатив
в соответствии с,твор,наперекор,дат,квалификатив
в соответствии с,твор,несмотря на,вин,квалификатив
в соответствии с,твор,невзирая на,вин,квалификатив
в соответствии с,твор,поперёк,род,квалификатив
в сопоставлении с,твор,независимо от,род,квалификатив
в сопровождении,род,без,род,комитатив
в сочетании с,твор,без,род,квалификатив
в сравнении с,твор,независимо от,род,квалификатив
в сравнении с,твор,безотносительно к,дат,квалификатив
в сравнении с,твор,помимо,род,квалификатив
в стороне от,род,рядом с,твор,локатив
в стороне от,род,под носом у,род,локатив
в стороне от,род,подле,род,локатив
в супряге с,твор,без,род,квалификатив
в течение,род,до,род,темпоратив
в течение,род,после,род,темпоратив
в течение,род,за исключением,род,темпоратив
в течение,род,исключая,вин,темпоратив
в течение,род,не считая,вин,темпоратив
в угодность,дат,вопреки,дат,директив
в угоду,дат,вопреки,дат,директив
в удалении от,род,возле,род,локатив
в условиях,род,вне,род,ситуатив
в ущерб,дат,для,род,дестинатив
в ущерб,дат,в пользу,род,дестинатив
в целях,род,во избежание,род,дестинатив
в части,род,независимо от,род,квалификатив
в шаге от,род,вдалеке от,род,локатив
в ширину,род,вдоль,род,локатив
вблизи,род,вдалеке от,род,локатив
вблизи,род,далеко от,род,локатив
вблизи,род,в отдалении от,род,локатив
вблизи,род,вдали от,род,локатив
вблизи,род,далеко за,вин,локатив
вблизи от,род,вдалеке от,род,локатив
вблизи от,род,далеко от,род,локатив
вдалеке от,род,вблизи,род,локатив
вдалеке от,род,поблизости от,род,локатив
вдалеке от,род,рядом с,твор,локатив
вдалеке от,род,в нескольких шагах от,род,локатив
вдалеке от,род,в шаге от,род,локатив
вдалеке от,род,вблизи от,род,локатив
вдалеке от,род,невдалеке от,род,локатив
вдалеке от,род,недалеко от,род,локатив
вдалеке от,род,неподалёку от,род,локатив
вдалеке от,род,обок,род,локатив
вдалеке от,род,около,род,локатив
вдалеке от,род,окрест,род,локатив
вдалеке от,род,округ,род,локатив
вдалеке от,род,под носом у,род,локатив
вдалеке от,род,подле,род,локатив
вдалеке от,род,близ,род,локатив
вдали от,род,вблизи,род,локатив
вдали от,род,поблизости от,род,локатив
вдали от,род,рядом с,твор,локатив
вдали от,род,близко от,род,локатив
вдали от,род,в нескольких шагах от,род,локатив
вдали от,род,возле,род,локатив
вдали от,род,вокруг,род,локатив
вдали от,род,недалеко от,род,локатив
вдали от,род,неподалёку от,род,локатив
вдали от,род,обок,род,локатив
вдали от,род,около,род,локатив
вдали от,род,окрест,род,локатив
вдали от,род,округ,род,локатив
вдали от,род,под носом у,род,локатив
вдали от,род,подле,род,локатив
вдоль,род,поперек,род,локатив
вдоль,род,по ширине,род,локатив
вдоль,род,в ширину,род,локатив
вдоль,род,против,род,локатив
вдоль,род,вразрез,дат,локатив
вдоль,род,поперёк,род,локатив
вдоль,род,сквозь,вин,локатив
вдоль,род,скрозь,вин,локатив
вдоль по,дат,поперек,род,локатив
взамен,род,наряду с,твор,квалификатив
взаправду,им,под видом,род,квалификатив
включая,вин,исключая,вин,комитатив
включая,вин,выключая,вин,комитатив
включая,вин,за вычетом,род,комитатив
включая,вин,за исключением,род,комитатив
включая,вин,кроме,род,комитатив
включая,вин,минуя,вин,комитатив
включая,вин,не беря в расчет,вин,комитатив
включая,вин,не считая,род,комитатив
включая,вин,помимо,род,комитатив
включая,вин,вне пределов,род,комитатив
включая,вин,вне рамок,род,комитатив
включая,вин,вне сферы,род,комитатив
включая,вин,не считая,вин,комитатив
вместе,твор,за исключением,род,квалификатив
вместе с,твор,отдельно от,род,комитатив
вместе с,твор,раздельно с,род,комитатив
